Year,Rank,Character Name,Unique Characters,Debut,First Year Ranked,Latest Year Ranked,Total Times Ranked,Highest Rank,Lowest Rank,Decade,Rank Shift,Percentile
2020,8,Show By Rock!!,,,,,,,,2020,-1.0,0.7512820512820513
2020,9,Little Twin Stars,,,,,,,,2020,3.0,0.8512820512820513
2020,10,Tuxedosam,,,,,,,,2020,0.0,0.9512820512820512
2021,1,Cinnamoroll,,,,,,,,2020,0.0,0.05128205128205128
2021,2,Pompompurin,,,,,,,,2020,0.0,0.15128205128205127
2021,3,Pochacco,,,,,,,,2020,0.0,0.2512820512820513
2021,4,My Melody,,,,,,,,2020,0.0,0.35128205128205126
2021,5,Kuromi,,,,,,,,2020,-2.0,0.4512820512820513
2021,6,Hello Kitty,,,,,,,,2020,1.0,0.5512820512820513
2021,7,Little Twin Stars,,,,,,,,2020,-2.0,0.6512820512820513
2021,8,Show By Rock!!,,,,,,,,2020,0.0,0.7512820512820513
2021,9,Tuxedosam,,,,,,,,2020,-1.0,0.8512820512820513
2021,10,Cogimyun,,,,,,,,2020,,0.9512820512820512
2022,1,Cinnamoroll,,,,,,,,2020,0.0,0.05128205128205128
2022,2,Pompompurin,,,,,,,,2020,0.0,0.15128205128205127
2022,3,Kuromi,,,,,,,,2020,-2.0,0.2512820512820513
2022,4,Pochacco,,,,,,,,2020,1.0,0.35128205128205126
2022,5,My Melody,,,,,,,,2020,1.0,0.4512820512820513
2022,6,Hello Kitty,,,,,,,,2020,0.0,0.5512820512820513
2022,7,Little Twin Stars,,,,,,,,2020,0.0,0.6512820512820513
2022,8,Hangyodon,,,,,,,,2020,0.0,0.7512820512820513
2022,9,Cogimyun,,,,,,,,2020,-1.0,0.8512820512820513
2022,10,Tuxedosam,,,,,,,,2020,1.0,0.9512820512820512
2023,1,Cinnamoroll,,,,,,,,2020,0.0,0.05128205128205128
2023,2,Pompompurin,,,,,,,,2020,0.0,0.15128205128205127
2023,3,Kuromi,,,,,,,,2020,0.0,0.2512820512820513
2023,4,Pochacco,,,,,,,,2020,0.0,0.35128205128205126
2023,5,Hello Kitty,,,,,,,,2020,-1.0,0.4512820512820513
2023,6,My Melody,,,,,,,,2020,1.0,0.5512820512820513
2023,7,Hangyodon,,,,,,,,2020,-1.0,0.6512820512820513
2023,8,Little Twin Stars,,,,,,,,2020,1.0,0.7512820512820513
2023,9,Tuxedosam,,,,,,,,2020,-1.0,0.8512820512820513
2023,10,Bad Badtz-Maru,,,,,,,,2020,1.0,0.9512820512820512
2024,1,Cinnamoroll,,,,,,,,2020,0.0,0.05128205128205128
2024,2,Pochacco,,,,,,,,2020,-2.0,0.15128205128205127
2024,3,Kuromi,,,,,,,,2020,0.0,0.2512820512820513
2024,4,Pompompurin,,,,,,,,2020,2.0,0.35128205128205126
2024,5,Hello Kitty,,,,,,,,2020,0.0,0.4512820512820513
2024,6,My Melody,,,,,,,,2020,0.0,0.5512820512820513
2024,7,Kerokerokeroppi,,,,,,,,2020,0.0,0.6512820512820513
2024,8,Hangyodon,,,,,,,,2020,1.0,0.7512820512820513
2024,9,Tuxedosam,,,,,,,,2020,0.0,0.8512820512820513
2024,10,Little Twin Stars,,,,,,,,2020,2.0,0.9512820512820512
